Order,Month,Weight loss: (Australia),Moving mean,Average moving mean,,Order,Weight loss: (Australia),Average moving mean,Individualised monthly effect,average monthly effect,Month,adjustable individual mean,
,6,,,,,,,,,,,,
,7,,,,,,,,,,,,
,8,,,,,,,,,,,,
,9,,,,,,,,,,,,
,10,,,,,,,,,,,,
,11,,,,,,,,,,,,
,12,,,,,,,,,,,,
,1,,,,,,,,,,,,
,2,,,,,,,,,,,,
,3,,,,,,,,,,,,
,2013-21,,,,,,,,,,,,
,2013-22,,,,,,,,,,,,
,2013-23,,,,,,,,,,,,
,2013-24,,,,,,,,,,,,
,2014-02,,,,,,,,,,,,
